Fecha,Residuo,Tipo,Clasificación,Tipo de Movimiento,Fuente,Cantidad (kg)
26/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,54.4
26/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,54.4
26/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,54.4
26/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,54.4
26/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Cempa,38.2
26/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,CEDI,175
26/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,66.2
26/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,66.2
26/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,66.2
26/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,66.2
26/09/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,Molino,376.2
27/09/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,360
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,72.2
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,72.2
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,72.2
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,43.4
27/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,39.4
27/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,39.4
27/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,39.4
27/09/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,190
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,28.4
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,28.4
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,28.4
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,28.4
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,24.8
27/09/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,12.8
27/09/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,12.8
27/09/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,12.8
27/09/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,12.8
27/09/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,CEDI,15.4
27/09/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,114.4
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,48
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,50.8
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,49.8
27/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,7
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Almacén,34.8
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,28.2
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,10.1
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,10.1
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,10.1
27/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,10.1
27/09/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,CEDI,15.4
28/09/2018,SR - Recorte saborizada,Proceso,Aprovechable,Salida,,6630
28/09/2018,SR - Recorte saborizada,Proceso,Aprovechable,Salida,,1480
28/09/2018,SD - Descarte Saborizado,Proceso,Aprovechable,Salida,,320
28/09/2018,Residuos del Casino,Convencionales,Aprovechable,Salida,,640
28/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,99
28/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,99
28/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,99
28/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,52
28/09/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,1070
28/09/2018,Saborizada,,,Ingreso,Saborizadas,1480
28/09/2018,Saborizada,,,Salida,,1480
28/09/2018,Saborizada,,,Ingreso,Saborizadas,5150
28/09/2018,Saborizada,,,Salida,,5150
28/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,43.6
28/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,43.6
28/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,43.6
28/09/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,480
28/09/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,Molino,225.8
28/09/2018,DS - Descarte,Proceso,Aprovechable,Salida,,550
28/09/2018,DS - Descarte,Proceso,Aprovechable,Salida,,320
29/09/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,480
29/09/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,18.8
29/09/2018,Cartón,Convencionales,Aprovechable,Salida,,700
29/09/2018,Plegadiza,Convencionales,Aprovechable,Salida,,100
29/09/2018,Cores,Convencionales,Aprovechable,Salida,,360
29/09/2018,Estibas,Convencionales,Aprovechable,Salida,,690
29/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Calidad,11.2
29/09/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,429.2
29/09/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,428
29/09/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,23
29/09/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,18
29/09/2018,Cinta marcación,Residuo Peligroso,Y12,Salida,,15.6
29/09/2018,Fosfamina,Residuo Peligroso,Y4,Salida,,61.4
29/09/2018,Material contaminado con plaguicidas,Residuo Peligroso,Y4,Salida,,29.4
29/09/2018,Aceite con agua,Residuo Peligroso,Y9,Salida,,155.8
29/09/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,2
29/09/2018,Laboratorio y Hospitalarios,Residuo Peligroso,A4020,Salida,,41.6
29/09/2018,Sustancias químicas de laboratorio,Residuo Peligroso,A4020,Salida,,54.2
1/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,314.8
1/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,314.8
1/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,314.8
1/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,1040
1/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,146.1
1/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,146.1
1/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,146.1
1/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,881.2
1/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,475
1/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,18.4
1/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,18.4
1/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,18.4
1/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,18.4
1/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,11.2
1/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,9.9
1/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,9.9
1/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,9.9
1/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,9.9
1/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,292.7
2/10/2018,Residuos del Casino,Convencionales,Aprovechable,Salida,,170
2/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,551.8
2/10/2018,Cartón,Convencionales,Aprovechable,Salida,,290
2/10/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,17.6
2/10/2018,Plegadiza,Convencionales,Aprovechable,Salida,,80
2/10/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,520
2/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,310.1
2/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,368.5
2/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,325.9
2/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,1590
2/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,Molino,520
2/10/2018,DS - Descarte,Proceso,Aprovechable,Salida,,1910
2/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,,80.2
2/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,24.9
2/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,24.9
2/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,24.9
2/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,24.9
2/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,13
2/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,192.4
2/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,6.7
2/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,6.7
2/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,6.7
2/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,6.7
2/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,132.6
2/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,CEDI,11.2
2/10/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,517.4
2/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,,130
2/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,180
2/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Doria Mosquera,110
2/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,90
2/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,,41.8
2/10/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,39.8
2/10/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,38.4
2/10/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,43.8
2/10/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,67.8
2/10/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,14.4
2/10/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,12.2
3/10/2018,Residuos Peligrosos,Residuo Peligroso,No Aprovechable,Salida,,740
3/10/2018,Chatarra,Convencionales,Aprovechable,Salida,,3430
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,744.4
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,87.8
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,87.8
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,74.4
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,74.4
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,74.4
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Cempa,23.8
3/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,1200
3/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,66.2
3/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,66.2
3/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,66.2
3/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,24.4
3/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,24.4
3/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,24.4
3/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,24.4
3/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,17.2
3/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,13.7
3/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,13.7
3/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,13.7
3/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,13.7
3/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,96.8
3/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,80
3/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,50
3/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Doria Mosquera,40
3/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,,29.2
4/10/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,420
4/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,120.2
4/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,120.2
4/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,120.2
4/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,560
4/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,18
4/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,18
4/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,18
4/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,18
4/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,54.6
4/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,9.2
4/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,9.2
4/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,9.2
4/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,9.2
4/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,88
4/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,CEDI,16.2
4/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,Molino,800
4/10/2018,DS - Descarte,Proceso,Aprovechable,Salida,,100
5/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,199.2
5/10/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,13.2
5/10/2018,Cartón,Convencionales,Aprovechable,Salida,,360
5/10/2018,Plegadiza,Convencionales,Aprovechable,Salida,,80
5/10/2018,Cores,Convencionales,Aprovechable,Salida,,380
5/10/2018,Estibas,Convencionales,Aprovechable,Salida,,740
5/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,339
5/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,88.4
5/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,88.4
5/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,114.6
5/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,40
5/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,40
5/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,40
5/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,55
5/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,18.7
5/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,18.7
5/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,18.7
5/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,18.7
5/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,42.8
5/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,112.4
5/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,23.5
5/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,23.5
5/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,23.5
5/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,23.5
5/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,83.6
5/10/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,456.6
5/10/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,5.4
6/10/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,390
9/10/2018,Residuos del Casino,Convencionales,Aprovechable,Salida,,460
9/10/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,460
9/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,293.8
9/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,293.8
9/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,293.8
9/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,1620
9/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,467.8
9/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,467.8
9/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,467.8
9/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,1410
9/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,369
9/10/2018,DS - Descarte,Proceso,Aprovechable,Salida,,1280
9/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,51.2
9/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,51.2
9/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,51.2
9/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,51.2
9/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,59.4
9/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,13.3
9/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,13.3
9/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,13.3
9/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,13.3
9/10/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,60
9/10/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,35.2
10/10/2018,Lodos PTAR,Convencionales,No Aprovechable,Salida,,1940
10/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,74
10/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,74
10/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,74
10/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,32.1
10/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,32.1
10/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,32.1
10/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,82.6
10/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,20.3
10/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,20.3
10/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,20.3
10/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,20.3
10/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,29.6
10/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,24.9
10/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,24.9
10/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,24.9
10/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,24.9
10/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,171.8
10/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,CEDI,54.4
11/10/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,250
11/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,225.1
11/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,225.1
11/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,225.1
11/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,24
11/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,CEDI,145.8
11/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,111.3
11/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,111.3
11/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,111.3
11/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,120.6
11/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,14.9
11/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,14.9
11/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,14.9
11/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,14.9
11/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,65.8
11/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,8.2
11/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,8.2
11/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,8.2
11/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,8.2
11/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,78.4
11/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,CEDI,8.8
12/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,95.3
12/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,95.3
12/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,95.3
12/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,24
12/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,150.1
12/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,150.1
12/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,150.1
12/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,150.1
12/10/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,343.6
12/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,29.1
12/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea B,29.1
12/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,29.1
12/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,29.1
12/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,CEDI,22
12/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,14.9
12/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea B,14.9
12/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,14.9
12/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,14.9
12/10/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,81
12/10/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,19.2
12/10/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,2
13/10/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,510
13/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,87.8
13/10/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,30.2
13/10/2018,Plegadiza,Convencionales,Aprovechable,Salida,,90
13/10/2018,Cores,Convencionales,Aprovechable,Salida,,730
13/10/2018,Cartón,Convencionales,Aprovechable,Salida,,860
13/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,93
13/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,93
13/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,98.4
13/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,2010
13/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,26.4
13/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,40
13/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,25
13/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,28.4
13/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,28.4
13/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,28.4
13/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,1170
13/10/2018,DS - Descarte,Proceso,Aprovechable,Salida,,570
13/10/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,697
13/10/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,572.8
16/10/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,190
16/10/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,397.6
16/10/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,18.4
16/10/2018,SR - Recorte saborizada,Proceso,Aprovechable,Salida,,1610
16/10/2018,Cartón,Convencionales,Aprovechable,Salida,,190
16/10/2018,Plegadiza,Convencionales,Aprovechable,Salida,,60
16/10/2018,Cores,Convencionales,Aprovechable,Salida,,190
16/10/2018,Estibas,Convencionales,Aprovechable,Salida,,1330
16/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,141.5
16/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,141.5
16/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,141.5
16/10/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,141.5
16/10/2018,Saborizada,,,Ingreso,Saborizadas,1610
16/10/2018,Saborizada,,,Salida,Saborizadas,1610
16/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,187.6
16/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,187.6
16/10/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,210.8
